,lat_min,lat_max,long_min,long_max,district_th
พระนคร ,100.4931449,100.5037558,13.7455824,13.770124,พระนคร 
ดุสิต ,100.506389,100.5316073,13.767768,13.7919229,ดุสิต 
หนองจอก ,100.817418,100.903926,13.829978,13.935403,หนองจอก 
บางรัก ,100.514886,100.534112,13.721955,13.730042,บางรัก 
บางเขน ,100.575196,100.620454,13.86179,13.88102,บางเขน 
บางกะปิ ,100.631424,100.653928,13.763394,13.775562,บางกะปิ 
ปทุมวัน ,100.521597,100.548719,13.734414,13.746921,ปทุมวัน 
ป้อมปราบศัตรูพ่าย ,100.505032,100.516147,13.746685,13.755897,ป้อมปราบศัตรูพ่าย 
พระโขนง ,100.592514,100.626072,13.68488,13.702579,พระโขนง 
มีนบุรี ,100.720356,100.760572,13.782234,13.823398,มีนบุรี 
ลาดกระบัง ,100.71302,100.859275,13.719157,13.762679,ลาดกระบัง 
ยานนาวา ,100.5260552,100.551395,13.6818093,13.707571,ยานนาวา 
สัมพันธวงศ์ ,100.501393,100.514096,13.739561,13.740228,สัมพันธวงศ์ 
พญาไท ,100.53927,100.551041,13.776581,13.787891,พญาไท 
ธนบุรี ,100.477874,100.491779,13.700703,13.726386,ธนบุรี 
บางกอกใหญ่ ,100.468312,100.481492,13.724423,13.739871,บางกอกใหญ่ 
ห้วยขวาง ,100.570741,100.50935,13.749183,13.800034,ห้วยขวาง 
คลองสาน ,100.494072,100.509591,13.713901,13.733245,คลองสาน 
ตลิ่งชัน ,100.452636,100.465365,13.774046,13.785352,ตลิ่งชัน 
บางกอกน้อย ,100.462257,100.479423,13.748514,13.775191,บางกอกน้อย 
บางขุนเทียน ,100.403791,100.439985,13.56136,13.667495,บางขุนเทียน 
ภาษีเจริญ ,100.426866,100.458967,13.711386,13.740402,ภาษีเจริญ 
หนองแขม ,100.337392,100.351744,13.692905,13.707736,หนองแขม 
ราษฎร์บูรณะ ,100.484374,100.517676,13.660573,13.679672,ราษฎร์บูรณะ 
บางพลัด ,100.501387,100.512905,13.792171,13.804492,บางพลัด 
ดินแดง ,100.554344,100.57357,13.759705,13.794633,ดินแดง 
บึงกุ่ม ,100.659221,100.671516,13.777482,13.793195,บึงกุ่ม 
สาทร ,100.515192,100.545748,13.70534,13.723184,สาทร 
บางซื่อ ,100.529662,100.541948,13.805558,13.819384,บางซื่อ 
จตุจักร ,100.542709,100.555757,13.804101,13.819368,จตุจักร 
บางคอแหลม ,100.495192,100.527336,13.691245,13.700835,บางคอแหลม 
ประเวศ ,100.677944,100.70378,13.698698,13.725815,ประเวศ 
คลองเตย ,100.555549,100.592284,13.708545,13.713381,คลองเตย 
สวนหลวง ,100.618187,100.652595,13.717047,13.739554,สวนหลวง 
จอมทอง ,100.454171,100.480737,13.669412,13.692672,จอมทอง 
ดอนเมือง ,100.572748,100.604152,13.910189,13.932151,ดอนเมือง 
ราชเทวี ,100.5255703,100.5384783,13.7506068,13.762722,ราชเทวี 
ลาดพร้าว ,100.590027,100.626248,13.803627,13.841549,ลาดพร้าว 
วัฒนา ,100.583009,100.594882,13.721529,13.739337,วัฒนา 
บางแค ,100.387487,100.422877,13.677194,13.717359,บางแค 
หลักสี่ ,100.5540455,100.5812954,13.8581552,13.8935606,หลักสี่ 
สายไหม ,100.621539,100.685678,13.894621,13.926823,สายไหม 
คันนายาว ,100.669248,100.679637,13.817261,13.837256,คันนายาว 
สะพานสูง ,100.671103,100.710025,13.75678,13.784477,สะพานสูง 
วังทองหลาง ,100.595701,100.62248,13.76204,13.799385,วังทองหลาง 
คลองสามวา ,100.694539,100.789296,13.834596,13.930251,คลองสามวา 
บางนา ,100.596951,100.638836,13.663216,13.677061,บางนา 
ทวีวัฒนา ,100.337859,100.40927,13.755267,13.800449,ทวีวัฒนา 
ทุ่งครุ ,100.48318,100.511332,13.604663,13.650207,ทุ่งครุ 
บางบอน ,100.369422,100.411994,13.632042,13.67241,บางบอน 
